"","subject","item","region","measure","proficiency1","proficiency2","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"2",1,18,"disamb","fp",71,0.5,"disamb fp",2,0,264,264,0.5,0.5,264
"4",1,15,"disamb","fp",71,0.5,"disamb fp",3,0,329,329,-0.5,-0.5,329
"6",1,1,"disamb","fp",71,0.5,"disamb fp",1,0,181,181,0.5,-0.5,181
"8",1,6,"disamb","fp",71,0.5,"disamb fp",2,0,277,277,0.5,0.5,277
"10",1,3,"disamb","fp",71,0.5,"disamb fp",3,0,147,147,-0.5,-0.5,147
"12",1,14,"disamb","fp",71,0.5,"disamb fp",2,0,371,371,0.5,0.5,371
"14",1,4,"disamb","fp",71,0.5,"disamb fp",4,0,206,206,-0.5,0.5,206
"16",1,17,"disamb","fp",71,0.5,"disamb fp",1,1,0,NA,0.5,-0.5,NA
"18",1,5,"disamb","fp",71,0.5,"disamb fp",1,1,0,NA,0.5,-0.5,NA
"20",1,13,"disamb","fp",71,0.5,"disamb fp",1,0,310,310,0.5,-0.5,310
"22",1,22,"disamb","fp",71,0.5,"disamb fp",2,0,519,519,0.5,0.5,519
"24",1,8,"disamb","fp",71,0.5,"disamb fp",4,0,283,283,-0.5,0.5,283
"26",1,9,"disamb","fp",71,0.5,"disamb fp",1,0,218,218,0.5,-0.5,218
"28",1,19,"disamb","fp",71,0.5,"disamb fp",3,0,203,203,-0.5,-0.5,203
"30",1,24,"disamb","fp",71,0.5,"disamb fp",4,0,199,199,-0.5,0.5,199
"32",1,12,"disamb","fp",71,0.5,"disamb fp",4,0,369,369,-0.5,0.5,369
"34",1,20,"disamb","fp",71,0.5,"disamb fp",4,0,223,223,-0.5,0.5,223
"36",1,10,"disamb","fp",71,0.5,"disamb fp",2,1,0,NA,0.5,0.5,NA
"38",1,11,"disamb","fp",71,0.5,"disamb fp",3,0,263,263,-0.5,-0.5,263
"40",1,16,"disamb","fp",71,0.5,"disamb fp",4,0,902,902,-0.5,0.5,NA
"42",1,7,"disamb","fp",71,0.5,"disamb fp",3,0,444,444,-0.5,-0.5,444
"44",1,2,"disamb","fp",71,0.5,"disamb fp",2,0,315,315,0.5,0.5,315
"46",1,21,"disamb","fp",71,0.5,"disamb fp",1,0,196,196,0.5,-0.5,196
"48",1,23,"disamb","fp",71,0.5,"disamb fp",3,0,441,441,-0.5,-0.5,441
"866",2,16,"disamb","fp",71,0.5,"disamb fp",1,0,234,234,0.5,-0.5,234
"868",2,4,"disamb","fp",71,0.5,"disamb fp",1,0,1162,1162,0.5,-0.5,1162
"870",2,2,"disamb","fp",71,0.5,"disamb fp",3,0,877,877,-0.5,-0.5,877
"872",2,13,"disamb","fp",71,0.5,"disamb fp",2,0,240,240,0.5,0.5,240
"874",2,19,"disamb","fp",71,0.5,"disamb fp",4,0,1130,1130,-0.5,0.5,1130
"876",2,12,"disamb","fp",71,0.5,"disamb fp",1,0,232,232,0.5,-0.5,232
"878",2,10,"disamb","fp",71,0.5,"disamb fp",3,0,747,747,-0.5,-0.5,747
"880",2,3,"disamb","fp",71,0.5,"disamb fp",4,0,471,471,-0.5,0.5,471
"882",2,9,"disamb","fp",71,0.5,"disamb fp",2,0,198,198,0.5,0.5,198
"884",2,21,"disamb","fp",71,0.5,"disamb fp",2,0,229,229,0.5,0.5,229
"886",2,15,"disamb","fp",71,0.5,"disamb fp",4,0,501,501,-0.5,0.5,501
"888",2,18,"disamb","fp",71,0.5,"disamb fp",3,0,264,264,-0.5,-0.5,264
"890",2,6,"disamb","fp",71,0.5,"disamb fp",3,0,166,166,-0.5,-0.5,166
