"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","continuation","trimmed_nozero"
"5728",1,28,"continuation","fp","continuation fp",8,0,265,265,77,-0.5,0.5,265
"5730",1,46,"continuation","fp","continuation fp",6,0,185,185,77,-0.5,-0.5,185
"5732",1,40,"continuation","fp","continuation fp",8,0,260,260,77,-0.5,0.5,260
"5734",1,25,"continuation","fp","continuation fp",5,0,199,199,77,0.5,-0.5,199
"5736",1,42,"continuation","fp","continuation fp",6,0,184,184,77,-0.5,-0.5,184
"5738",1,37,"continuation","fp","continuation fp",5,0,224,224,77,0.5,-0.5,224
"5740",1,26,"continuation","fp","continuation fp",6,0,249,249,77,-0.5,-0.5,249
"5742",1,30,"continuation","fp","continuation fp",6,1,0,NA,77,-0.5,-0.5,NA
"5744",1,32,"continuation","fp","continuation fp",8,0,336,336,77,-0.5,0.5,336
"5746",1,31,"continuation","fp","continuation fp",7,0,186,186,77,0.5,0.5,186
"5748",1,47,"continuation","fp","continuation fp",7,0,356,356,77,0.5,0.5,356
"5750",1,44,"continuation","fp","continuation fp",8,0,192,192,77,-0.5,0.5,192
"5752",1,27,"continuation","fp","continuation fp",7,0,205,205,77,0.5,0.5,205
"5754",1,33,"continuation","fp","continuation fp",5,0,316,316,77,0.5,-0.5,316
"5756",1,45,"continuation","fp","continuation fp",5,0,267,267,77,0.5,-0.5,267
"5758",1,34,"continuation","fp","continuation fp",6,0,212,212,77,-0.5,-0.5,212
"5760",1,35,"continuation","fp","continuation fp",7,1,0,NA,77,0.5,0.5,NA
"5762",1,29,"continuation","fp","continuation fp",5,0,260,260,77,0.5,-0.5,260
"5764",1,41,"continuation","fp","continuation fp",5,0,256,256,77,0.5,-0.5,256
"5766",1,38,"continuation","fp","continuation fp",6,0,211,211,77,-0.5,-0.5,211
"5768",1,43,"continuation","fp","continuation fp",7,0,194,194,77,0.5,0.5,194
"5770",1,39,"continuation","fp","continuation fp",7,1,0,NA,77,0.5,0.5,NA
"5772",1,48,"continuation","fp","continuation fp",8,0,225,225,77,-0.5,0.5,225
"5774",1,36,"continuation","fp","continuation fp",8,0,286,286,77,-0.5,0.5,286
"5776",2,32,"continuation","fp","continuation fp",5,0,450,450,77,0.5,-0.5,450
"5778",2,48,"continuation","fp","continuation fp",5,0,205,205,77,0.5,-0.5,205
"5780",2,40,"continuation","fp","continuation fp",5,0,285,285,77,0.5,-0.5,285
"5782",2,28,"continuation","fp","continuation fp",5,1,0,NA,77,0.5,-0.5,NA
"5784",2,38,"continuation","fp","continuation fp",7,0,384,384,77,0.5,0.5,384
"5786",2,42,"continuation","fp","continuation fp",7,1,0,NA,77,0.5,0.5,NA
"5788",2,37,"continuation","fp","continuation fp",6,0,189,189,77,-0.5,-0.5,189
"5790",2,29,"continuation","fp","continuation fp",6,0,340,340,77,-0.5,-0.5,340
"5792",2,45,"continuation","fp","continuation fp",6,1,0,NA,77,-0.5,-0.5,NA
"5794",2,41,"continuation","fp","continuation fp",6,0,316,316,77,-0.5,-0.5,316
"5796",2,35,"continuation","fp","continuation fp",8,0,202,202,77,-0.5,0.5,202
"5798",2,44,"continuation","fp","continuation fp",5,1,0,NA,77,0.5,-0.5,NA
"5800",2,46,"continuation","fp","continuation fp",7,1,0,NA,77,0.5,0.5,NA
"5802",2,26,"continuation","fp","continuation fp",7,1,0,NA,77,0.5,0.5,NA
