"","X","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"1",30721,"Native",1,38,"spillover2","tt","spillover2 tt",6,0,527,527,0.5,0.5
"2",30723,"Native",1,39,"spillover2","tt","spillover2 tt",7,0,532,532,0.5,0.5
"3",30725,"Native",1,26,"spillover2","tt","spillover2 tt",6,0,185,185,0.5,0.5
"4",30727,"Native",1,34,"spillover2","tt","spillover2 tt",6,0,190,190,0.5,0.5
"5",30729,"Native",1,46,"spillover2","tt","spillover2 tt",6,0,844,844,0.5,0.5
"6",30731,"Native",1,29,"spillover2","tt","spillover2 tt",5,0,453,453,0.5,0.5
"7",30733,"Native",1,36,"spillover2","tt","spillover2 tt",8,0,758,758,0.5,0.5
"8",30735,"Native",1,30,"spillover2","tt","spillover2 tt",6,0,185,185,0.5,0.5
"9",30737,"Native",1,40,"spillover2","tt","spillover2 tt",8,1,0,NA,0.5,0.5
"10",30739,"Native",1,33,"spillover2","tt","spillover2 tt",5,0,464,464,0.5,0.5
"11",30741,"Native",1,43,"spillover2","tt","spillover2 tt",7,1,0,NA,0.5,0.5
"12",30743,"Native",1,28,"spillover2","tt","spillover2 tt",8,0,387,387,0.5,0.5
"13",30745,"Native",1,31,"spillover2","tt","spillover2 tt",7,0,289,289,0.5,0.5
"14",30747,"Native",1,45,"spillover2","tt","spillover2 tt",5,0,149,149,0.5,0.5
"15",30749,"Native",1,25,"spillover2","tt","spillover2 tt",5,0,643,643,0.5,0.5
"16",30751,"Native",1,41,"spillover2","tt","spillover2 tt",5,0,1255,1255,0.5,0.5
"17",30753,"Native",1,42,"spillover2","tt","spillover2 tt",6,0,362,362,0.5,0.5
"18",30755,"Native",1,37,"spillover2","tt","spillover2 tt",5,0,460,460,0.5,0.5
"19",30757,"Native",1,32,"spillover2","tt","spillover2 tt",8,0,877,877,0.5,0.5
"20",30759,"Native",1,48,"spillover2","tt","spillover2 tt",8,0,278,278,0.5,0.5
"21",30761,"Native",1,47,"spillover2","tt","spillover2 tt",7,0,450,450,0.5,0.5
"22",30763,"Native",1,44,"spillover2","tt","spillover2 tt",8,0,182,182,0.5,0.5
"23",30765,"Native",1,27,"spillover2","tt","spillover2 tt",7,0,633,633,0.5,0.5
"24",30767,"Native",1,35,"spillover2","tt","spillover2 tt",7,0,204,204,0.5,0.5
"25",30769,"Native",2,46,"spillover2","tt","spillover2 tt",7,0,1664,1664,0.5,0.5
