"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","gender","trimmed_nozero"
"5729",1,18,"spillover2","fp","spillover2 fp",2,0,399,399,77,0.5,0.5,399
"5731",1,15,"spillover2","fp","spillover2 fp",3,0,346,346,77,-0.5,-0.5,346
"5733",1,1,"spillover2","fp","spillover2 fp",1,0,447,447,77,0.5,-0.5,447
"5735",1,6,"spillover2","fp","spillover2 fp",2,0,389,389,77,0.5,0.5,389
"5737",1,3,"spillover2","fp","spillover2 fp",3,0,461,461,77,-0.5,-0.5,461
"5739",1,14,"spillover2","fp","spillover2 fp",2,0,436,436,77,0.5,0.5,436
"5741",1,4,"spillover2","fp","spillover2 fp",4,0,492,492,77,-0.5,0.5,492
"5743",1,17,"spillover2","fp","spillover2 fp",1,0,458,458,77,0.5,-0.5,458
"5745",1,5,"spillover2","fp","spillover2 fp",1,0,372,372,77,0.5,-0.5,372
"5747",1,13,"spillover2","fp","spillover2 fp",1,0,289,289,77,0.5,-0.5,289
"5749",1,22,"spillover2","fp","spillover2 fp",2,0,198,198,77,0.5,0.5,198
"5751",1,8,"spillover2","fp","spillover2 fp",4,0,266,266,77,-0.5,0.5,266
"5753",1,9,"spillover2","fp","spillover2 fp",1,0,402,402,77,0.5,-0.5,402
"5755",1,19,"spillover2","fp","spillover2 fp",3,0,407,407,77,-0.5,-0.5,407
"5757",1,24,"spillover2","fp","spillover2 fp",4,0,452,452,77,-0.5,0.5,452
"5759",1,12,"spillover2","fp","spillover2 fp",4,0,890,890,77,-0.5,0.5,890
"5761",1,20,"spillover2","fp","spillover2 fp",4,0,189,189,77,-0.5,0.5,189
"5763",1,10,"spillover2","fp","spillover2 fp",2,0,999,999,77,0.5,0.5,999
"5765",1,11,"spillover2","fp","spillover2 fp",3,0,1047,1047,77,-0.5,-0.5,1047
"5767",1,16,"spillover2","fp","spillover2 fp",4,0,592,592,77,-0.5,0.5,592
"5769",1,7,"spillover2","fp","spillover2 fp",3,0,422,422,77,-0.5,-0.5,422
"5771",1,2,"spillover2","fp","spillover2 fp",2,0,582,582,77,0.5,0.5,582
"5773",1,21,"spillover2","fp","spillover2 fp",1,0,825,825,77,0.5,-0.5,825
"5775",1,23,"spillover2","fp","spillover2 fp",3,0,818,818,77,-0.5,-0.5,818
"5777",2,16,"spillover2","fp","spillover2 fp",1,0,952,952,77,0.5,-0.5,952
"5779",2,4,"spillover2","fp","spillover2 fp",1,0,583,583,77,0.5,-0.5,583
"5781",2,2,"spillover2","fp","spillover2 fp",3,0,935,935,77,-0.5,-0.5,935
"5783",2,13,"spillover2","fp","spillover2 fp",2,0,511,511,77,0.5,0.5,511
"5785",2,19,"spillover2","fp","spillover2 fp",4,0,756,756,77,-0.5,0.5,756
"5787",2,12,"spillover2","fp","spillover2 fp",1,0,1307,1307,77,0.5,-0.5,1307
"5789",2,10,"spillover2","fp","spillover2 fp",3,0,293,293,77,-0.5,-0.5,293
"5791",2,3,"spillover2","fp","spillover2 fp",4,0,925,925,77,-0.5,0.5,925
"5793",2,9,"spillover2","fp","spillover2 fp",2,0,334,334,77,0.5,0.5,334
"5795",2,21,"spillover2","fp","spillover2 fp",2,0,545,545,77,0.5,0.5,545
"5797",2,15,"spillover2","fp","spillover2 fp",4,0,476,476,77,-0.5,0.5,476
"5799",2,18,"spillover2","fp","spillover2 fp",3,0,163,163,77,-0.5,-0.5,163
"5801",2,6,"spillover2","fp","spillover2 fp",3,0,143,143,77,-0.5,-0.5,143
"5803",2,5,"spillover2","fp","spillover2 fp",2,0,195,195,77,0.5,0.5,195
"5805",2,14,"spillover2","fp","spillover2 fp",3,0,386,386,77,-0.5,-0.5,386
"5807",2,1,"spillover2","fp","spillover2 fp",2,0,348,348,77,0.5,0.5,348
"5809",2,20,"spillover2","fp","spillover2 fp",1,0,369,369,77,0.5,-0.5,369
"5811",2,11,"spillover2","fp","spillover2 fp",4,0,433,433,77,-0.5,0.5,433
"5813",2,7,"spillover2","fp","spillover2 fp",4,0,666,666,77,-0.5,0.5,666
"5815",2,23,"spillover2","fp","spillover2 fp",4,0,662,662,77,-0.5,0.5,662
"5817",2,8,"spillover2","fp","spillover2 fp",1,0,350,350,77,0.5,-0.5,350
"5819",2,17,"spillover2","fp","spillover2 fp",2,0,451,451,77,0.5,0.5,451
"5821",2,24,"spillover2","fp","spillover2 fp",1,0,262,262,77,0.5,-0.5,262
"5823",2,22,"spillover2","fp","spillover2 fp",3,0,304,304,77,-0.5,-0.5,304
"5825",3,18,"spillover2","fp","spillover2 fp",4,0,660,660,77,-0.5,0.5,660
"5827",3,7,"spillover2","fp","spillover2 fp",1,0,234,234,77,0.5,-0.5,234
"5829",3,16,"spillover2","fp","spillover2 fp",2,0,805,805,77,0.5,0.5,805
"5831",3,5,"spillover2","fp","spillover2 fp",3,0,537,537,77,-0.5,-0.5,537
